Variable,Description,Type,Value,Label,Pre-Transplant Variable vs Post-Transplant Outcome Variable,"Related to GVHD: Yes/No, Possible, Unknown","Rational for Yes, Possible, Unknown",Linked to Other Variables
age,Age at HCT,Continuous,,,Pre-Transplant Variable,Yes,Older recipients increased risk,
agedx,Age at diagnosis,Continuous,.A,Missing,Pre-Transplant Variable,No,N/A,
sex,Recipient sex,Categorical,1,Male,Pre-Transplant Variable,Yes,Dependent on the sex match with the donor,
,,,2,Female,,,,
ethnicit,Recipient ethnicity,Categorical,.A,Missing,Pre-Transplant Variable,Yes,Polymorphisms in typing may play a role,
,,,1,Hispanic or Latino,,,,
,,,2,Non Hispanic or non-Latino,,,,
,,,3,Non-resident of the U.S.,,,,
racegp,Recipient race,Categorical,.A,Missing,Pre-Transplant Variable,Yes,Polymorphisms in typing may play a role,
,,,1,White,,,,
,,,2,Black or African American,,,,
,,,3,Asian,,,,
,,,4,Native Hawaiian or other Pacific Islander,,,,
,,,5,American Indian or Alaska Native,,,,
,,,7,Other,,,,
,,,8,More than one race,,,,
marstat,Recipient marital status,Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED Track",,,,
,,,1,"Single,never married",,,,
,,,2,Married,,,,
,,,3,Separated,,,,
,,,4,Divorced,,,,
,,,5,Widowed,,,,
curoccup,Current or most recent occupation,Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED Track",,,,
,,,1,"Professional, technical, or related",,,,
,,,2,"Manager, administrator, proprietor",,,,
,,,3,Clerical or related,,,,
,,,4,Sales,,,,
,,,5,Service,,,,
,,,6,Skilled craft or related,,,,
,,,7,Equipment/vehicle operator or related,,,,
,,,8,Laborer,,,,
,,,9,Farmer,,,,
,,,10,Military,,,,
,,,11,Homemaker,,,,
,,,12,Student,,,,
,,,14,Not previously employed,,,,
,,,90,Other,,,,
currwork,Current or most recent work status prior to illness,Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED Track",,,,
,,,1,Full time,,,,
,,,2,Part time,,,,
,,,3,Unemployed,,,,
,,,4,Medical disability,,,,
,,,5,Retired,,,,
higheduc,Highest educational grade the recipient completed,Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED Track",,,,
,,,1,No primary education,,,,
,,,2,Less than primary or elementary education,,,,
,,,3,Primary or elementary educaiton,,,,
,,,4,Lower secondary educaiton,,,,
,,,5,Upper secondary educaiton,,,,
,,,6,"Post-secondary, non-tertiary education",,,,
,,,7,"Tertiary education, Type A",,,,
,,,8,"Tertiary education, Type B",,,,
,,,9,Advanced research qualification,,,,
,,,10,"Tertiary education, Type A or Type B",,,,
medicaid,Government-sponsored Medicaid (U.S.),Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.B,No insurance,,,,
,,,.Z,"N/A, TED Track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
medicare,Government-sponsored Medicare (U.S.),Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.B,No insurance,,,,
,,,.Z,"N/A, TED Track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
nathi,Government-sponsored National Health Insurance (non U.S.),Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.B,No insurance,,,,
,,,.Z,"N/A, TED Track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
vamilhi,Government-sponsored Veteran's Affairs/military,Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.B,No insurance,,,,
,,,.Z,"N/A, TED Track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
indgrphi,Private health insurance,Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.B,No insurance,,,,
,,,.Z,"N/A, TED Track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
disabil,Employer-sponsored disability insurance,Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.B,No insurance,,,,
,,,.Z,"N/A, TED Track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
smokehist,History of cigarette smoking,Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
smokeyr,Smoked cigarettes within the last year,Categorical,.A,Missing,Pre-Transplant Variable,Possible,Increases inflammation,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
,,,2,No history of smoking,,,,
tumorpr,"Solid tumor, prior",Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,0,No,,,,
,,,1,Yes,,,,
prehemalig,Prior hematologic malignancy,Categorical,.A,Missing,Pre-Transplant Variable,Unknown,May increase exposure to chemotherapy,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
r_rhtype,Recipient Rh factor,Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED track",,,,
,,,0,Negative,,,,
,,,1,Positive,,,,
